user_id,session_id,open_timestamp,close_timestamp,entry_point
U00001,S000001,2025-06-14 16:22:14,2025-06-14 16:46:14,push
U00001,S000002,2025-06-02 23:13:24,2025-06-02 23:25:24,push
U00001,S000003,2025-06-12 10:55:21,2025-06-12 11:05:21,push
U00001,S000004,2025-06-16 10:23:00,2025-06-16 10:41:00,search
U00001,S000005,2025-06-29 21:04:28,2025-06-29 21:34:28,search
U00001,S000006,2025-06-16 14:19:22,2025-06-16 14:25:22,search
U00001,S000007,2025-06-08 11:03:15,2025-06-08 11:18:15,direct
U00001,S000008,2025-06-17 06:14:47,2025-06-17 06:31:47,push
U00001,S000009,2025-06-19 06:02:39,2025-06-19 06:12:39,push
U00001,S000010,2025-06-15 18:35:07,2025-06-15 19:03:07,push
U00001,S000011,2025-06-26 10:05:54,2025-06-26 10:35:54,promo_banner
U00001,S000012,2025-06-04 18:54:03,2025-06-04 19:14:03,direct
U00001,S000013,2025-06-29 02:10:17,2025-06-29 02:28:17,direct
U00001,S000014,2025-06-21 17:30:32,2025-06-21 17:37:32,push
U00001,S000015,2025-06-21 13:54:26,2025-06-21 14:09:26,search
U00001,S000016,2025-06-14 07:04:19,2025-06-14 07:29:19,search
U00001,S000017,2025-06-29 15:16:52,2025-06-29 15:33:52,direct
U00001,S000018,2025-06-05 00:47:15,2025-06-05 01:08:15,search
U00001,S000019,2025-06-25 20:17:39,2025-06-25 20:38:39,search
U00001,S000020,2025-06-16 21:47:04,2025-06-16 21:59:04,direct
U00001,S000021,2025-06-29 23:34:51,2025-06-29 23:58:51,push
U00001,S000022,2025-06-16 21:15:21,2025-06-16 21:39:21,push
U00002,S000023,2025-06-01 11:38:58,2025-06-01 12:03:58,push
U00002,S000024,2025-06-06 20:16:19,2025-06-06 20:35:19,push
U00002,S000025,2025-06-14 07:36:15,2025-06-14 07:56:15,push
U00002,S000026,2025-06-13 16:09:10,2025-06-13 16:16:10,search
U00002,S000027,2025-06-05 07:51:19,2025-06-05 08:20:19,search
U00002,S000028,2025-06-02 19:15:54,2025-06-02 19:37:54,promo_banner
U00002,S000029,2025-06-12 17:52:46,2025-06-12 18:17:46,push
U00002,S000030,2025-06-20 00:41:22,2025-06-20 00:48:22,direct
U00002,S000031,2025-06-08 20:56:11,2025-06-08 21:23:11,push
U00002,S000032,2025-06-09 13:14:22,2025-06-09 13:23:22,push
U00002,S000033,2025-06-11 06:45:24,2025-06-11 06:52:24,push
U00002,S000034,2025-06-29 01:16:14,2025-06-29 01:33:14,search
U00002,S000035,2025-06-03 01:28:00,2025-06-03 01:36:00,direct
U00002,S000036,2025-06-11 14:57:02,2025-06-11 15:11:02,search
U00002,S000037,2025-06-09 06:58:23,2025-06-09 07:01:23,search
U00002,S000038,2025-06-10 01:20:16,2025-06-10 01:39:16,push
U00002,S000039,2025-06-24 13:55:30,2025-06-24 14:05:30,push
U00002,S000040,2025-06-19 11:08:06,2025-06-19 11:19:06,search
U00002,S000041,2025-06-28 10:03:20,2025-06-28 10:31:20,direct
U00002,S000042,2025-06-28 01:13:44,2025-06-28 01:21:44,push
U00002,S000043,2025-06-27 20:01:52,2025-06-27 20:09:52,promo_banner
U00002,S000044,2025-06-20 00:52:15,2025-06-20 01:11:15,search
U00003,S000045,2025-06-16 23:04:14,2025-06-16 23:27:14,search
