user_id,event_timestamp,current_lat,current_lon,battery_level,current_app_screen
U00034,2025-06-05 18:37:07,-7.139376172910338,112.77737153937305,58,feed
U00552,2025-06-07 20:55:16,-7.1598142192487115,112.5613577977252,48,payment
U00025,2025-06-10 15:40:40,-7.249264621071818,112.66890286453224,75,cart
U00484,2025-06-29 08:09:41,-7.092780380913891,112.72473991721338,16,feed
U00608,2025-06-28 01:49:31,-7.135246655384778,112.82839044405249,83,checkout
U00042,2025-06-27 06:08:55,-7.170426081441834,112.79161342799748,80,history
U00709,2025-06-05 22:29:45,-7.318104701665188,112.79291310730775,97,checkout
U00774,2025-06-06 02:45:54,-7.1466453166031005,112.55031973283641,17,feed
U00164,2025-06-09 12:20:17,-7.061763099017158,112.81197424594323,24,feed
U00673,2025-06-21 12:39:09,-7.174122051159277,112.83856491124835,96,feed
U00432,2025-06-04 15:20:26,-7.315150194419351,112.62292971303228,87,cart
U00104,2025-06-28 21:10:38,-7.091052698794091,112.56457686100117,6,history
U00324,2025-06-18 23:02:42,-7.159058218757755,112.64455630517743,93,cart
U00746,2025-06-04 11:39:04,-7.118975733456548,112.7801466083898,96,feed
U00500,2025-06-24 20:03:48,-7.089276068587566,112.67469736569754,84,feed
U00442,2025-06-24 22:22:44,-7.118617682256656,112.80815266480404,5,payment
U00092,2025-06-19 22:05:48,-7.090731266794665,112.60359065314782,14,checkout
U00569,2025-06-17 02:34:48,-7.119192184653437,112.76263671859223,77,feed
U00319,2025-06-06 01:47:19,-7.195477075530079,112.62166152774607,5,history
U00529,2025-06-23 19:02:05,-7.073213886968535,112.6728152004124,64,feed
U00746,2025-06-15 15:44:44,-7.3347410459008575,112.67171320997399,14,feed
U00114,2025-06-25 03:36:08,-7.207454514527858,112.74615874311674,36,feed
U00315,2025-06-24 03:13:51,-7.242303248620785,112.6881828683159,19,feed
U00284,2025-06-15 07:34:00,-7.204772531717223,112.61291363244088,88,cart
U00543,2025-06-11 23:05:46,-7.080160932810363,112.73319254166611,68,feed
U00052,2025-06-11 14:06:15,-7.269169712298642,112.55981597800508,48,payment
U00381,2025-06-16 18:18:48,-7.301311306847247,112.83752410687534,46,feed
U00465,2025-06-13 21:59:19,-7.208403141156672,112.74747746473052,96,feed
U00398,2025-06-28 09:52:43,-7.115293104121564,112.65785317351312,27,feed
U00544,2025-06-26 09:55:42,-7.0932107215382665,112.79580928829415,38,payment
U00421,2025-06-08 03:14:59,-7.246915146760258,112.64097019257606,75,cart
U00582,2025-06-25 16:04:31,-7.2571729939690846,112.66994078841729,85,checkout
U00478,2025-06-28 15:56:33,-7.266461496355992,112.77960254418629,47,payment
U00171,2025-06-03 21:40:44,-7.071540720009052,112.60622449540776,56,feed
U00195,2025-06-03 12:14:09,-7.189811723519793,112.70729408327404,92,cart
U00559,2025-06-04 14:54:07,-7.320698370073972,112.63275480890587,83,history
U00103,2025-06-07 05:19:38,-7.2390258803497485,112.72586811331715,71,cart
U00156,2025-06-15 20:17:35,-7.211231229378941,112.67205141571996,6,feed
U00663,2025-06-29 06:36:22,-7.297949702364783,112.60351724053419,11,cart
U00069,2025-06-11 04:31:30,-7.256055721334358,112.57780510338685,99,cart
U00013,2025-06-27 04:25:41,-7.165236569305915,112.81933249651236,84,payment
U00405,2025-06-20 22:24:28,-7.180752066144066,112.69177129452841,65,feed
U00179,2025-06-15 14:01:50,-7.249708038170786,112.58772678595645,46,feed
U00370,2025-06-17 15:12:04,-7.2109494066990445,112.6956134590237,23,feed
U00674,2025-06-20 11:43:10,-7.260239459854738,112.63422819380185,38,feed
U00299,2025-06-04 15:43:07,-7.118123580020933,112.68113106174425,44,payment
U00368,2025-06-28 08:37:24,-7.207048030887369,112.78350806303155,29,feed
U00695,2025-06-01 00:30:59,-7.187453905728419,112.61107430649193,76,checkout
U00177,2025-06-17 11:35:56,-7.170429292124019,112.78104691280122,90,payment
U00392,2025-06-18 00:54:44,-7.253352569314205,112.68116138212827,89,cart
